,open,high,low,close,volume,Close_time,Quote asset volume,number of trades,Taker buy base asset volume,Taker buy quote asset volume,Open_time_GST,MA_1,MA_2,MA_7,MA_15,MA_30,EMA_1,EMA_2,EMA_12,EMA_26,DIF,DEM,OSC
0,231.56000000,250.68000000,230.66000000,248.23000000,823816.69936000,1591055999999,198791911.84704420,318497,426075.31776000,102865011.74578850,2020-06-01 08:00:00,248.23,,,,,248.23,248.23,248.23,248.23,0.0,0.0,0.0
1,248.23000000,253.80000000,225.00000000,237.71000000,955520.91863000,1591142399999,230680327.30929150,355417,462682.15945000,111744961.57192750,2020-06-02 08:00:00,237.71,242.97,,,,237.71,240.34,242.53166666666667,242.7676923076923,-0.23602564102563406,-0.13112535612535225,-0.1049002849002818
2,237.71000000,245.00000000,232.71000000,244.52000000,502928.13371000,1591228799999,120179301.17898640,213792,259904.04578000,62129185.47385130,2020-06-03 08:00:00,244.52,241.115,,,,244.52,243.23384615384614,243.30771362586609,243.39727944800396,-0.08956582213787101,-0.11409276022884354,0.024526938090972533
3,244.54000000,246.60000000,236.00000000,243.21000000,669369.33920000,1591315199999,162460397.62767410,253226,332175.55769000,80659519.34918510,2020-06-04 08:00:00,243.21,243.865,,,,243.21,243.21775,243.27686925287358,243.3449242983752,-0.0680550455016089,-0.09849732841067463,0.030442282909065727
4,243.22000000,247.87000000,239.14000000,240.03000000,502547.41103000,1591401599999,122084004.51697550,205337,242309.99059000,58916816.25847680,2020-06-05 08:00:00,240.03,241.62,,,,240.03,241.08380165289256,242.39470648110276,242.5761796808488,-0.18147319974605125,-0.12318077419106986,-0.05829242555498139
5,240.04000000,244.70000000,237.83000000,241.94000000,389423.07798000,1591487999999,93979350.81263390,161709,198723.53956000,47973780.54283710,2020-06-06 08:00:00,241.94000000000003,240.985,,,,241.94,241.6553846153846,242.2841888841757,242.4487579647619,-0.16456908058620456,-0.1343993063694718,-0.030169774216732753
6,241.94000000,245.37000000,234.60000000,244.56000000,571102.55515000,1591574399999,137165732.64761660,226478,285159.65388000,68517428.42271850,2020-06-07 08:00:00,244.56,243.25,242.8857142857143,,,244.56,243.59268069533397,242.79202817221642,242.8242314163404,-0.032203244123991226,-0.1085362093579943,0.07633296523400307
7,244.57000000,247.70000000,240.59000000,246.40000000,383116.54719000,1591660799999,93355224.96830870,159981,193451.07601000,47159340.96864370,2020-06-08 08:00:00,246.40000000000003,245.48,242.62428571428572,,,246.4,245.46451219512196,243.5449562826221,243.4003763367268,0.1445799458953161,-0.04770763740026928,0.19228758329558537
8,246.37000000,249.82000000,238.00000000,243.80000000,420327.17133000,1591747199999,102374504.57389720,185974,202641.07177000,49369436.33086970,2020-06-09 08:00:00,243.80000000000004,245.1,243.49428571428572,,,243.8,244.35478101818924,243.59541300768387,243.459609336537,0.1358036711468742,-0.005315614721582822,0.141119285868457
9,243.79000000,250.28000000,242.00000000,247.78000000,431285.61715000,1591833599999,105797248.24742570,185330,221305.11120000,54322143.50039510,2020-06-10 08:00:00,247.78000000000003,245.79000000000002,243.96,,,247.78,246.63829901097412,244.3883906164115,244.05578119908097,0.33260941733053073,0.07039920897928019,0.26221020835125053
10,247.78000000,250.09000000,226.20000000,230.51000000,816456.89161000,1591919999999,195063781.27644910,312655,373492.34304000,89279896.48515260,2020-06-11 08:00:00,230.51000000000002,239.145,242.1457142857143,,,230.51,235.88603897350208,241.8489797652415,242.2988890862505,-0.4499093210090166,-0.04344132437247924,-0.4064679966365374
